IP,Access Time,HTTP Requests,Browser
10.82.185.83,17/Nov/2022:11:09:51 +0100,/~ikarmali/ian/admin.php,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"
107.0.0.0,17/Nov/2022:11:09:51 +0100,/~ikarmali/ian/admin.php,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"
10.82.185.83,17/Nov/2022:11:09:51 +0100,/~ikarmali/ian/styles/fontface.css,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"
107.0.0.0,17/Nov/2022:11:09:51 +0100,/~ikarmali/ian/styles/fontface.css,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"
10.82.185.83,17/Nov/2022:11:09:51 +0100,/~ikarmali/ian/styles/img/newbanner.webp,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"
107.0.0.0,17/Nov/2022:11:09:51 +0100,/~ikarmali/ian/styles/img/newbanner.webp,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"
10.82.185.83,17/Nov/2022:11:09:52 +0100,/~ikarmali/ian/index.php,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"
107.0.0.0,17/Nov/2022:11:09:52 +0100,/~ikarmali/ian/index.php,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"
10.82.185.83,17/Nov/2022:11:09:59 +0100,/~ikarmali/ian/index.php,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"
107.0.0.0,17/Nov/2022:11:09:59 +0100,/~ikarmali/ian/index.php,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"
